Vendor ID	Vendor Name	vendorEnabled	itemid	item	itemEnabled	featuredItemEnabled	catalogNumber	qty	Another Worthless Spec	size	Worthless Spec	productUrl	biocompareUrl	cat_ids	cat_names
1234	Exiqon	1	316015	Pre-designed miRCURYâ¢ detection probes	0	None		None	375EE3F1-97E0-4843-988A-1FD014BA1C8B	5 nmol / 20 nmol	C277D962-D5A8-447C-A9DF-696333009CC6	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/316015/Pre-designed-miRCURY-detection-probes.html	13245;	RNA Detection Kits;
1234	Exiqon	1	316016	Custom miRCURYâ¢ detection probes	0	None		None	455C324A-A79C-4A09-A820-20C5452359F0	5 nmol / 20 nmol	D548E7D1-92A7-4147-A126-75A35F3C520A	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/316016/Custom-miRCURY-detection-probes.html	13245;	RNA Detection Kits;
1234	Exiqon	1	491090	miRCURYâ¢ LNA in situ Detection probes	0	None	10000-xx to 99999-xx	None	87E91542-CCD2-4952-84BA-B5659BCF74C3	250 pmol / 25-50 reactions or more (depending on application)	1C35CB11-F7A6-43D4-9DC7-0ECA7927B3BF	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491090/miRCURY-LNA-in-situ-Detection-probes.html	13245;	RNA Detection Kits;
1234	Exiqon	1	491091	miRCURYâ¢ LNA Northern Blotting Detection probes	0	None	10000-xx to 99999-xx	None	C09DE10C-3361-49B0-BB58-B3975C74F0A5	250 pmol / 25 reactions	636FED46-DFEB-453B-9FA0-09E1DB684093	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491091/miRCURY-LNA-Northern-Blotting-Detection-probes.html	13245;	RNA Detection Kits;
1234	Exiqon	1	491092	miRCURYâ¢ LNA Knockdown probes	0	None	110000-199000	5 nmol 	34ECB3B7-B0BC-4B19-AADF-262B5ABB736F	5 nmol 	C8BC4FCC-7D04-4345-B8E0-A340E625DB68	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491092/miRCURY-LNA-Knockdown-probes.html	16508;17490;	miRNA Inhibitors;RNAi Search;
1234	Exiqon	1	491092	miRCURYâ¢ LNA Knockdown probes	0	None	110000-199000	5 nmol 	5C8FD2F3-4623-4ECC-9B8A-42D81119490D	5 nmol 	0754C0D0-B9BA-4786-9BA9-4B3858EAFC52	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491092/miRCURY-LNA-Knockdown-probes.html	16508;17490;	miRNA Inhibitors;RNAi Search;
1234	Exiqon	1	491093	miRCURYâ¢ LNA Array ready-to-spot probe set	0	None	208010V7.1	1 set	2B10D5BB-9C7D-4C31-9003-C241DFEC7635	1 set	F193A482-8AD7-4FE9-BAF4-3514E3E2AAD4	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491093/miRCURY-LNA-Array-ready-to-spot-probe-set.html	16616;17490;	miRNA Detection Probes;RNAi Search;
1234	Exiqon	1	491093	miRCURYâ¢ LNA Array ready-to-spot probe set	0	None	208010V7.1	1 set	CAE8DBC7-C8DD-468A-A6F9-8F9A202B4D57	1 set	AB891620-52FE-4F38-961C-B6641AABF418	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491093/miRCURY-LNA-Array-ready-to-spot-probe-set.html	16616;17490;	miRNA Detection Probes;RNAi Search;
1234	Exiqon	1	491094	miRCURYâ¢ LNA Array microarray slides	0	None	208000A	3 slides	98A6A26F-35E6-4D2A-BC83-8835BB10048A	3 slides	E3C7057C-D952-484C-AC94-B9EE58DE86D7	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491094/miRCURY-LNA-Array-microarray-slides.html	17153;	miRNA Microarrays;
1234	Exiqon	1	491095	miRCURYâ¢ LNA Array microarray slides	0	None	208001A	6 slides	5D2B3432-79A7-4CE5-BCBB-A28A68ED0AFA	6 slides	2D10686C-0744-4A73-A97B-BBE1FE3F6AC8	http://www.exiqon.com	http://www.biocompare.com/ProductDetails/491095/miRCURY-LNA-Array-microarray-slides.html	17153;	miRNA Microarrays;
